CONTIN;SIGLA;DENOMINAZ;CODICE
1;*;ALBANIA;Z100
1;*;ANDORRA;Z101
1;*;ARMENIA;Z137
1;*;AUSTRIA;Z102
1;*;AZERBAIGIAN;Z141
1;*;BELGIO;Z103
1;*;BIELORUSSIA=RUSSIA BIANCA;Z139
1;*;BOSNIA ED ERZEGOVINA;Z153
1;*;BULGARIA;Z104
1;*;CECA REPUBBLICA;Z156
1;*;CECOSLOVACCHIA;Z105
1;;CECOSLOVACCHIA;Z105
1;*;CITTA' DEL VATICANO;Z106
1;*;CROAZIA;Z149
1;*;DANIMARCA;Z107
1;*;ESTONIA;Z144
1;DK;FAER OER (ISOLE);Z108
1;*;FINLANDIA;Z109
1;*;FRANCIA;Z110
1;*;GEORGIA;Z136
1;*;GERMANIA;Z112
1;*;GERMANIA REPUBBLICA DEMOCRATICA;Z111
1;*;GERMANIA REPUBBLICA FEDERALE;Z112
1;GB;GIBILTERRA;Z113
1;*;GRAN BRETAGNA E IRLANDA DEL NORD;Z114
1;*;GRECIA;Z115
1;*;IRLANDA=EIRE;Z116
1;*;ISLANDA;Z117
1;*;IUGOSLAVIA;Z118
1;;IUGOSLAVIA;Z118
1;*;IUGOSLAVIA;Z118
1;;IUGOSLAVIA;Z118
1;;IUGOSLAVIA;Z118
1;*;IUGOSLAVIA;Z118
1;;IUGOSLAVIA;Z118
1;*;IUGOSLAVIA;Z118
1;*;KAZAKISTAN;Z152
1;*;KIRGHIZISTAN;Z142
1;*;LETTONIA;Z145
1;*;LIECHTENSTEIN;Z119
1;*;LITUANIA;Z146
1;*;LUSSEMBURGO;Z120
1;*;MACEDONIA;Z148
1;*;MALTA;Z121
1;GB;MAN (ISOLA);Z122
1;*;MOLDAVIA;Z140
1;*;MONACO;Z123
1;GB;NORMANNE (ISOLE)=ISOLE DEL CANALE;Z124
1;*;NORVEGIA;Z125
1;*;PAESI BASSI;Z126
1;*;POLONIA;Z127
1;*;PORTOGALLO;Z128
1;*;REPUBBLICA DI POLONIA;Z127
1;*;ROMANIA;Z129
1;*;RUSSIA=FEDERAZIONE RUSSA;Z154
1;*;SAN MARINO;Z130
1;*;SERBIA E MONTENEGRO;Z157
1;*;SLOVACCHIA;Z155
1;*;SLOVENIA;Z150
1;*;SPAGNA;Z131
1;*;SVEZIA;Z132
1;*;SVIZZERA;Z133
1;*;TAGIKISTAN;Z147
1;*;TURKEMENISTAN;Z151
1;*;UCRAINA;Z138
1;*;UNGHERIA;Z134
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
1;*;UZBEKISTAN;Z143
2;*;AFGHANISTAN;Z200
2;*;ARABIA MERIDIONALE FEDERAZIONE;Z201
