CONTIN;SIGLA;DENOMINAZ;CODICE;DATAIST;DATASOP;CODRIF;DATAVARIAZ
1;*;ALBANIA;Z100;1/1/1965 0.00.00;;;
1;*;ANDORRA;Z101;1/1/1965 0.00.00;;;
1;*;ARMENIA;Z137;23/9/1991 0.00.00;1/1/1994 0.00.00;Z252;1/1/1994 0.00.00
1;*;AUSTRIA;Z102;1/1/1965 0.00.00;;;
1;*;AZERBAIGIAN;Z141;30/8/1991 0.00.00;1/1/1994 0.00.00;Z253;1/1/1994 0.00.00
1;*;BELGIO;Z103;1/1/1965 0.00.00;;;
1;*;BIELORUSSIA=RUSSIA BIANCA;Z139;25/8/1991 0.00.00;;;
1;*;BOSNIA ED ERZEGOVINA;Z153;3/3/1992 0.00.00;;;
1;*;BULGARIA;Z104;1/1/1965 0.00.00;;;
1;*;CECA REPUBBLICA;Z156;1/1/1993 0.00.00;;;
1;*;CECOSLOVACCHIA;Z105;1/1/1965 0.00.00;1/1/1993 0.00.00;Z155;1/1/1993 0.00.00
1;;CECOSLOVACCHIA;Z105;;;Z156;
1;*;CITTA' DEL VATICANO;Z106;1/1/1965 0.00.00;;;
1;*;CROAZIA;Z149;8/10/1991 0.00.00;;;
1;*;DANIMARCA;Z107;1/1/1965 0.00.00;;;
1;*;ESTONIA;Z144;6/9/1991 0.00.00;;;
1;DK;FAER OER (ISOLE);Z108;1/1/1965 0.00.00;;;
1;*;FINLANDIA;Z109;1/1/1965 0.00.00;;;
1;*;FRANCIA;Z110;1/1/1965 0.00.00;;;
1;*;GEORGIA;Z136;9/9/1991 0.00.00;1/1/1994 0.00.00;Z254;1/1/1994 0.00.00
1;*;GERMANIA;Z112;3/10/1990 0.00.00;;;
1;*;GERMANIA REPUBBLICA DEMOCRATICA;Z111;1/1/1965 0.00.00;3/10/1990 0.00.00;Z112;3/10/1990 0.00.00
1;*;GERMANIA REPUBBLICA FEDERALE;Z112;1/1/1965 0.00.00;3/10/1990 0.00.00;Z112;3/10/1990 0.00.00
1;GB;GIBILTERRA;Z113;1/1/1965 0.00.00;;;
1;*;GRAN BRETAGNA E IRLANDA DEL NORD;Z114;1/1/1965 0.00.00;;;
1;*;GRECIA;Z115;1/1/1965 0.00.00;;;
1;*;IRLANDA=EIRE;Z116;1/1/1965 0.00.00;;;
1;*;ISLANDA;Z117;1/1/1965 0.00.00;;;
1;*;IUGOSLAVIA;Z118;1/1/1965 0.00.00;15/9/1991 0.00.00;Z118;15/9/1991 0.00.00
1;;IUGOSLAVIA;Z118;;;Z148;
1;*;IUGOSLAVIA;Z118;15/9/1991 0.00.00;8/10/1991 0.00.00;Z118;8/10/1991 0.00.00
1;;IUGOSLAVIA;Z118;;;Z149;
1;;IUGOSLAVIA;Z118;;;Z150;
1;*;IUGOSLAVIA;Z118;8/10/1991 0.00.00;3/3/1992 0.00.00;Z118;3/3/1992 0.00.00
1;;IUGOSLAVIA;Z118;;;Z153;
1;*;IUGOSLAVIA;Z118;3/3/1992 0.00.00;4/2/2003 0.00.00;Z157;4/2/2003 0.00.00
1;*;KAZAKISTAN;Z152;16/12/1991 0.00.00;1/1/1994 0.00.00;Z255;1/1/1994 0.00.00
1;*;KIRGHIZISTAN;Z142;31/8/1991 0.00.00;1/1/1994 0.00.00;Z256;1/1/1994 0.00.00
1;*;LETTONIA;Z145;6/9/1991 0.00.00;;;
1;*;LIECHTENSTEIN;Z119;1/1/1965 0.00.00;;;
1;*;LITUANIA;Z146;6/9/1991 0.00.00;;;
1;*;LUSSEMBURGO;Z120;1/1/1965 0.00.00;;;
1;*;MACEDONIA;Z148;15/9/1991 0.00.00;;;
1;*;MALTA;Z121;1/1/1965 0.00.00;;;
1;GB;MAN (ISOLA);Z122;1/1/1965 0.00.00;;;
1;*;MOLDAVIA;Z140;27/8/1991 0.00.00;;;
1;*;MONACO;Z123;1/1/1965 0.00.00;;;
1;GB;NORMANNE (ISOLE)=ISOLE DEL CANALE;Z124;1/1/1965 0.00.00;;;
1;*;NORVEGIA;Z125;1/1/1965 0.00.00;;;
1;*;PAESI BASSI;Z126;1/1/1965 0.00.00;;;
1;*;POLONIA;Z127;1/1/1965 0.00.00;31/12/1989 0.00.00;Z127;31/12/1989 0.00.00
1;*;PORTOGALLO;Z128;1/1/1965 0.00.00;;;
1;*;REPUBBLICA DI POLONIA;Z127;31/12/1989 0.00.00;;;
1;*;ROMANIA;Z129;1/1/1965 0.00.00;;;
1;*;RUSSIA=FEDERAZIONE RUSSA;Z154;31/3/1992 0.00.00;;;
1;*;SAN MARINO;Z130;1/1/1965 0.00.00;;;
1;*;SERBIA E MONTENEGRO;Z157;4/2/2003 0.00.00;;;
1;*;SLOVACCHIA;Z155;1/1/1993 0.00.00;;;
1;*;SLOVENIA;Z150;8/10/1991 0.00.00;;;
1;*;SPAGNA;Z131;1/1/1965 0.00.00;;;
1;*;SVEZIA;Z132;1/1/1965 0.00.00;;;
1;*;SVIZZERA;Z133;1/1/1965 0.00.00;;;
1;*;TAGIKISTAN;Z147;9/9/1991 0.00.00;1/1/1994 0.00.00;Z257;1/1/1994 0.00.00
1;*;TURKEMENISTAN;Z151;29/10/1991 0.00.00;1/1/1994 0.00.00;Z258;1/1/1994 0.00.00
1;*;UCRAINA;Z138;24/8/1991 0.00.00;;;
1;*;UNGHERIA;Z134;1/1/1965 0.00.00;;;
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;1/1/1965 0.00.00;24/8/1991 0.00.00;Z135;24/8/1991 0.00.00
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;;;Z138;
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;24/8/1991 0.00.00;25/8/1991 0.00.00;Z135;25/8/1991 0.00.00
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;;;Z139;
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;25/8/1991 0.00.00;27/8/1991 0.00.00;Z135;27/8/1991 0.00.00
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;;;Z140;
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;27/8/1991 0.00.00;30/8/1991 0.00.00;Z135;30/8/1991 0.00.00
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;;;Z141;
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;30/8/1991 0.00.00;31/8/1991 0.00.00;Z135;31/8/1991 0.00.00
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;;;Z142;
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;;;Z143;
1;*;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;31/8/1991 0.00.00;6/9/1991 0.00.00;Z135;6/9/1991 0.00.00
1;;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135;;;Z144;
